
|   Index | Value          |   Parent |   Left Sibling |
|---------+----------------+----------+----------------|
|       0 | program        |       -1 |             -1 |
|       1 | BEGIN          |        0 |              2 |
|       2 | statement_list |        0 |             25 |
|       3 | statement      |        2 |             -1 |
|       4 | if_statement   |        3 |             -1 |
|       5 | if             |        4 |              6 |
|       6 | condition      |        4 |             16 |
|       7 | expression     |        6 |             11 |
|       8 | term           |        7 |             -1 |
|       9 | factor         |        8 |             -1 |
|      10 | identifier     |        9 |             -1 |
|      11 | relation       |        6 |             13 |
|      12 | <              |       11 |             -1 |
|      13 | expression     |        6 |             -1 |
|      14 | term           |       13 |             -1 |
|      15 | factor         |       14 |             -1 |
|      16 | identifier     |        4 |             17 |
|      17 | {              |        4 |             18 |
|      18 | statement_list |        4 |             -1 |
|      19 | statement      |       18 |             -1 |
|      20 | iostmt         |       19 |             -1 |
|      21 | read           |       20 |             22 |
|      22 | identifier     |       20 |             23 |
|      23 | ;              |       20 |             -1 |
|      24 | }              |       -1 |             -1 |
|      25 | END            |        0 |             -1 |
